ssz	Z	N	E
495	70	99	8.428546
496	101	159	7.699789
497	24	27	9.080127
498	96	144	7.855805
499	91	142	7.910426
500	38	44	8.998254
501	15	18	8.869434
502	72	107	
503	90	144	7.897763
504	63	84	8.598879
505	74	104	8.354563
506	92	138	7.933871
507	99	154	7.759019
508	52	69	
509	90	137	7.957644
510	37	49	9.033502
511	98	155	7.757885
512	33	41	9.028895
513	91	139	7.931436
514	46	57	8.920638
515	45	54	8.935711
516	23	25	8.99789
517	76	115	8.26187
518	83	122	8.174069
519	63	93	8.520642
520	88	137	7.973576
521	15	17	8.830865
522	50	67	
523	59	84	8.652258
524	77	112	8.274783
525	55	81	8.706171
526	53	73	8.769026
527	56	84	8.66612
528	51	75	8.757042
529	81	121	8.199956
530	54	77	
531	77	113	8.264755
532	56	75	8.733037
533	88	135	7.994042
534	32	39	9.055943
535	60	87	8.602973
536	94	152	7.805494
537	77	116	
538	78	110	8.272514
539	41	51	
540	89	136	7.975159
541	55	76	8.743541
542	50	75	8.758515
543	68	101	8.431852
544	64	85	8.575576
545	69	98	8.445866
546	54	75	
547	84	122	8.15959
548	34	38	9.0143
549	47	59	8.890639
550	71	100	8.409532
551	53	78	8.738842
552	99	158	7.723468
553	47	64	8.866111
554	65	96	8.490383
555	92	145	7.8798
556	71	101	8.401217
557	71	106	
558	55	77	8.731599
559	83	123	8.168551
560	79	117	8.230205
561	28	28	9.033899
562	52	66	8.814726
563	63	82	8.609245
564	51	69	8.808194
565	25	27	9.046431
566	61	87	
567	65	91	8.520667
568	65	90	8.531031
569	54	79	8.730302
570	73	110	8.318847
571	83	127	
572	97	148	7.81902
573	52	67	8.801773
574	63	83	8.59956
575	20	27	8.972181
576	93	141	7.900571
577	45	56	
578	78	115	
579	43	53	8.965255
580	92	139	7.924977
581	70	105	8.383902
582	53	71	8.775884
583	78	117	
584	51	76	8.754005
585	86	136	7.997573
586	75	111	
587	88	136	7.987277
588	46	54	8.923587
589	41	54	
590	66	100	8.448376
591	60	80	8.673113
592	21	26	9.014564
593	39	48	9.025565
594	40	49	9.024912
595	31	36	9.069532
596	52	80	8.716646
597	58	76	8.704432
598	79	120	8.217534
599	81	120	8.206561
600	100	153	7.757691
601	78	113	8.258228
602	49	62	8.867688
603	44	53	8.95908
604	42	57	8.939669
605	51	71	8.795346
606	33	38	9.027581
607	79	119	8.220732
608	80	117	8.226358
609	39	51	9.032294
610	75	107	8.321053
611	69	103	8.404932
612	29	38	9.076086
613	21	23	8.924627
614	56	72	8.738523
615	35	42	9.022431
616	70	96	8.44234
617	73	104	8.363553
618	93	146	7.864999
619	65	88	8.537471
620	28	38	9.071423
621	94	153	7.791975
622	79	119	
623	48	67	
624	61	88	8.581871
625	54	79	
626	82	121	8.193431
627	93	145	7.871931
628	95	145	7.856694
629	68	104	8.399752
630	71	99	8.408445
631	30	42	9.017591
632	62	91	8.545614
633	78	124	8.183209
634	21	27	8.998327
635	97	149	7.811287
636	80	115	8.229399
637	77	111	8.2752
638	57	83	8.67362
639	99	155	
640	32	37	9.0438
641	56	77	
642	33	44	9.031283
643	51	68	8.823235
644	64	83	8.584001
645	79	115	8.237626
646	91	138	7.940769
647	98	148	7.810792
648	28	29	9.055222
649	45	60	8.907956
650	35	47	9.016407
651	36	43	9.013644
652	58	79	8.696327
653	71	98	8.414978
654	58	85	8.642041
655	99	152	7.774467
656	38	45	8.996568
657	55	74	8.749622
658	105	163	7.635133
659	91	141	7.916379
660	76	117	8.244348
661	69	96	8.452758
662	52	79	8.720392
663	89	137	7.963761
664	68	92	8.48419
665	61	90	8.557387
666	56	79	
667	50	71	
668	67	99	
669	33	43	9.022505
670	81	119	8.206567
671	33	39	9.018966
672	90	141	7.924932
673	100	152	7.766498
674	65	91	
675	75	114	8.272269
676	80	117	
677	74	113	8.284722
678	97	151	
679	72	101	8.391617
680	41	55	8.963036
681	65	89	8.526912
682	93	143	
683	19	24	8.922327
684	76	106	8.316432
685	91	137	7.944468
686	24	24	8.96339
687	65	89	
688	82	118	8.202542
689	46	66	8.842185
690	12	16	8.607706
691	45	55	8.927167
692	53	80	8.717094
693	54	68	8.770959
694	100	155	7.742704
695	43	52	
696	75	106	8.328294
697	78	119	8.225756
698	57	78	8.713179
699	77	117	
700	59	83	8.661417
701	79	121	8.202877
702	64	95	8.502576
703	58	77	8.698179
704	79	114	8.244353
705	65	86	8.545692
706	27	28	9.053647
707	65	87	8.536591
708	75	113	8.27886
709	54	71	8.768864
710	40	57	8.926451
711	77	109	8.281935
712	40	46	8.975979
713	35	41	8.996183
714	52	67	
715	95	147	
716	72	98	8.40221
717	63	94	8.513792
718	11	13	8.422082
719	36	40	8.979406
720	39	47	8.993234
721	86	125	8.112825
722	41	49	8.989727
723	77	108	8.289382
724	92	148	7.851682
725	31	41	9.023958
726	30	39	9.056536
727	46	63	8.875061
728	39	48	
729	53	70	8.786311
730	76	115	
731	76	107	8.309907
732	63	87	
733	29	35	9.093581
734	75	107	
735	78	122	8.204342
736	53	77	8.740035
737	19	23	8.905175
738	72	99	8.39548
739	95	144	7.864666
740	80	113	8.231483
741	83	120	8.177436
742	32	45	8.996185
743	83	121	8.172651
744	78	111	8.264359
745	82	130	8.106928
746	80	115	
747	73	102	8.370813
748	94	151	7.813752
749	77	110	8.283713
750	68	97	8.462406
751	39	54	8.976951
752	95	149	7.825914
753	103	163	
754	65	89	
755	76	107	
756	66	89	8.517521
757	38	53	8.990503
758	79	117	
759	31	35	9.036843
760	62	94	8.516007
761	52	75	
762	82	119	8.196989
763	63	89	
764	30	32	9.057957
765	54	81	8.711453
766	27	31	
767	51	77	8.732343
768	58	79	
769	94	140	7.898892
770	73	111	8.304154
771	99	151	7.778407
772	46	55	8.917149
773	26	26	9.000789
774	69	104	8.396524
775	73	107	
776	66	91	8.513544
777	85	125	8.128337
778	73	103	8.363202
779	69	97	8.444183
780	99	157	7.730742
781	68	103	8.408901
782	81	118	8.212333
783	85	126	8.126527
784	34	39	9.005821
785	42	51	
786	91	143	7.89893
787	53	82	8.691994
788	48	59	8.884271
789	37	45	8.999608
790	66	87	8.523288
791	55	72	8.750383
792	89	139	7.944591
793	43	56	
794	59	86	8.620514
795	76	113	
796	84	123	8.154158
797	42	48	8.962072
798	101	156	7.72504
799	46	65	8.844589
800	60	79	8.659529
801	72	108	
802	85	124	8.132954
803	47	66	8.841531
804	65	91	
805	81	117	8.210166
806	100	151	7.76859
807	60	78	8.665661
808	67	93	8.485877
809	51	67	8.814963
810	94	149	7.833648
811	79	113	8.242036
812	49	61	8.857464
813	58	75	8.690771
814	43	51	8.966583
815	39	46	8.98688
816	31	42	9.026112
817	80	112	8.238051
818	57	75	8.705721
819	45	54	
820	105	162	7.644361
821	71	108	8.345428
822	37	44	9.002871
823	97	146	7.829801
824	49	66	
825	36	49	
826	44	61	8.889689
827	35	45	9.018872
828	59	80	8.681565
829	51	78	8.727358
830	97	147	7.822491
831	49	60	8.864805
832	72	112	8.296871
833	65	84	8.551166
834	50	60	8.851727
835	21	23	
836	30	41	9.01737
837	57	84	8.65954
838	57	76	8.714109
839	21	22	8.912907
840	77	118	8.233326
841	80	113	
842	71	105	
843	103	159	7.681556
844	82	120	
845	39	53	8.993208
846	84	120	8.1612
847	58	74	8.696131
848	65	85	8.545394
849	48	69	8.80884
850	29	32	9.087452
851	82	127	8.155607
852	100	154	7.752808
853	97	153	7.779523
854	68	93	8.476352
855	75	115	8.257433
856	39	51	
857	79	112	8.248343
858	73	100	8.374218
859	47	65	8.844756
860	98	149	7.803566
861	77	107	8.286599
862	77	113	
863	22	23	8.938121
864	67	100	8.444304
865	103	161	
866	62	72	
867	96	143	7.857143
868	81	116	8.21519
869	36	52	8.976918
870	16	22	8.778196
871	38	49	
872	51	66	8.828977
873	89	135	7.980993
874	43	50	8.970274
875	39	46	
876	61	89	8.562014
877	38	54	8.972067
878	100	156	7.737398
879	14	17	8.811618
880	25	31	9.087572
881	28	37	9.073267
882	77	118	
883	74	102	8.359055
884	48	69	
885	52	64	8.806414
886	60	81	8.668476
887	67	94	8.488737
888	86	124	8.117032
889	82	116	8.202893
890	96	142	7.863764
891	35	48	9.023243
892	66	86	8.53267
893	73	105	8.355075
894	78	109	8.267638
895	66	99	8.456891
896	53	79	8.72057
897	68	90	8.484619
898	32	34	9.004964
899	56	73	8.730746
900	62	88	
901	74	103	8.352118
902	45	61	8.884761
903	56	73	
904	59	79	8.671088
905	53	68	8.784443
906	50	77	8.7288
907	54	69	8.764409
908	78	108	8.274897
909	95	150	7.818674
910	41	48	8.977507
911	76	119	
912	49	68	8.828849
913	77	109	
914	70	107	8.359401
915	81	117	
916	81	115	8.211618
917	36	47	
918	9	9	8.022789
919	18	23	8.877852
920	69	94	8.456205
921	91	148	7.848148
922	83	118	8.177875
923	85	122	8.135303
924	86	138	7.971327
925	38	42	8.950177
926	76	105	8.311935
927	84	121	8.156737
928	60	89	8.570529
929	83	119	8.173966
930	99	150	7.785464
931	65	82	8.552634
932	40	47	8.983373
933	56	70	8.727439
934	49	64	
935	27	34	9.102449
936	44	51	8.949749
937	95	143	7.867882
938	85	123	8.131376
939	58	75	
940	35	40	8.993181
941	63	89	
942	101	158	7.70986
943	78	119	
944	88	142	7.921249
945	57	85	8.634954
946	33	45	9.004879
947	82	117	8.198111
948	32	46	8.992635
949	98	157	7.738739
950	81	115	
951	77	119	8.21944
952	53	79	
953	56	83	8.682217
954	32	43	9.029413
955	53	67	8.769577
956	105	161	
957	101	155	7.729062
958	59	78	8.678459
959	36	51	8.999022
960	70	94	8.443419
961	68	95	8.471168
962	36	41	8.982618
963	70	108	8.35053
964	95	142	7.87483
965	62	80	8.627616
966	41	56	8.953864
967	78	107	8.269598
968	81	114	8.215712
969	52	77	
970	47	57	8.889702
971	49	61	
972	73	101	8.368684
973	31	37	9.057888
974	38	47	
975	77	113	
976	67	95	8.478371
977	82	122	
978	41	48	
979	47	56	8.894541
980	96	153	7.787191
981	72	111	8.307885
982	89	140	7.937048
983	52	65	8.798652
984	93	147	7.853348
985	72	110	
986	83	129	8.109617
987	51	65	8.816483
988	65	83	8.547949
989	105	165	
