Helyezés	Idõ	Versenyzõ neve	Születési év	Ország	Versenynap	Férfi/Nõi	Táv	Versenyszám																				
3	00:53.81	KROMOWIDJOJO Ranomi	1990	NED	06/10/2019	nõi	100	gyors																				
5	00:54.47	KROMOWIDJOJO Ranomi	1990	NED	06/10/2019	nõi	100	gyors																				
1	00:25.63	KROMOWIDJOJO Ranomi	1990	NED	05/10/2019	nõi	50	pillangó																				
5	00:26.28	KROMOWIDJOJO Ranomi	1990	NED	05/10/2019	nõi	50	pillangó																				
4	01:48.55	KROON Luc	2001	NED	06/10/2019	férfi	200	gyors																				
7	01:49.90	KROON Luc	2001	NED	06/10/2019	férfi	200	gyors																				
10	00:31.83	LAHTINEN Laura	2003	FIN	06/10/2019	nõi	50	mell																				
9	00:25.42	LAITAROVSKY Michael	1999	ISR	05/10/2019	férfi	50	hát																				
9	00:25.42	LAITAROVSKY Michael	1999	ISR	05/10/2019	férfi	50	hát																				
2	00:55.84	LUNAK Sebastian	2002	CZE	05/10/2019	férfi	100	pillangó																				
3	00:56.87	LUNAK Sebastian	2002	CZE	05/10/2019	férfi	100	pillangó																				
3	01:58.71	LUNAK Sebastian	2002	CZE	05/10/2019	férfi	200	pillangó																				
5	01:59.44	LUNAK Sebastian	2002	CZE	05/10/2019	férfi	200	pillangó																				
5	00:57.08	MAJERSKI Jakub	2000	POL	05/10/2019	férfi	100	pillangó																				
8	02:00.70	MAJERSKI Jakub	2000	POL	05/10/2019	férfi	200	pillangó																				
8	00:23.74	MAKELA Niko	1998	FIN	06/10/2019	férfi	50	pillangó																				
4	00:57.01	MARTON Richard	1999	HUN	05/10/2019	férfi	100	pillangó																				
6	01:59.88	MARTON Richard	1999	HUN	05/10/2019	férfi	200	pillangó																				
10	00:23.82	MATSUI Kosuke	1994	JPN	05/10/2019	férfi	50	gyors																				
8	00:23.71	MATSUMOTO Katsuhiro	1997	JPN	05/10/2019	férfi	50	gyors																				
3	00:48.97	MATSUMOTO Katsuhiro	1997	JPN	05/10/2019	férfi	100	gyors																				
10	00:49.52	MATSUMOTO Katsuhiro	1997	JPN	05/10/2019	férfi	100	gyors																				
3	01:48.32	MATSUMOTO Katsuhiro	1997	JPN	06/10/2019	férfi	200	gyors																				
5	04:20.57	MEITZ Kaersten	1995	USA	06/10/2019	nõi	400	gyors																				
4	08:38.77	MEITZ Kaersten	1995	USA	06/10/2019	nõi	800	gyors																				
3	04:00.27	MICKA Jan	1995	CZE	05/10/2019	férfi	400	gyors																				
